name,owner,stars,created_at,updated_at,age_days,days_since_update,merged_pull_requests,total_releases,primary_language,total_issues,closed_issues,closed_issues_ratio
freeCodeCamp,freeCodeCamp,426349,2014-12-24T17:49:19Z,2025-08-24T21:11:42Z,3896,0,25733,0,TypeScript,19835,19641,99.02
build-your-own-x,codecrafters-io,413672,2018-05-09T12:03:18Z,2025-08-24T21:13:34Z,2664,0,142,0,Markdown,824,595,72.21
awesome,sindresorhus,394579,2014-07-11T13:42:37Z,2025-08-24T21:16:49Z,4062,0,679,0,Unknown,354,340,96.05
free-programming-books,EbookFoundation,366070,2013-10-11T06:50:37Z,2025-08-24T21:11:02Z,4335,0,6821,0,Python,1181,1152,97.54
public-apis,public-apis,362761,2016-03-20T23:49:42Z,2025-08-24T20:53:12Z,3443,0,1872,0,Python,712,704,98.88
developer-roadmap,kamranahmedse,334463,2017-03-15T13:45:52Z,2025-08-24T20:51:47Z,3084,0,3694,1,TypeScript,2942,2693,91.54
coding-interview-university,jwasham,324765,2016-06-06T02:34:12Z,2025-08-24T21:11:52Z,3366,0,415,0,Unknown,516,453,87.79
system-design-primer,donnemartin,317419,2017-02-26T16:15:28Z,2025-08-24T20:56:59Z,3101,0,200,0,Python,341,91,26.69
996.ICU,996icu,274144,2019-03-26T07:31:14Z,2025-08-24T15:53:55Z,2343,0,1071,0,Unknown,0,0,0
awesome-python,vinta,256530,2014-06-27T21:00:06Z,2025-08-24T21:04:56Z,4076,0,544,0,Python,0,0,0
awesome-selfhosted,awesome-selfhosted,243484,2015-06-01T02:33:17Z,2025-08-24T21:03:11Z,3737,0,2394,1,Unknown,806,806,100.0
project-based-learning,practical-tutorials,240995,2017-04-12T05:07:46Z,2025-08-24T20:58:50Z,3056,0,182,0,Unknown,210,79,37.62
react,facebook,238373,2013-05-24T16:15:54Z,2025-08-24T20:51:58Z,4475,0,12137,105,JavaScript,14001,13200,94.28
vue,vuejs,209296,2013-07-29T03:24:51Z,2025-08-24T15:53:08Z,4409,0,1133,249,TypeScript,10028,9673,96.46
Python,TheAlgorithms,204332,2016-07-16T09:44:01Z,2025-08-24T21:00:59Z,3326,0,2984,0,Python,1588,1519,95.65
linux,torvalds,200608,2011-09-04T22:48:12Z,2025-08-24T21:12:50Z,5102,0,10,0,C,0,0,0
javascript-algorithms,trekhleb,193072,2018-03-24T07:47:04Z,2025-08-24T16:56:23Z,2710,0,302,0,JavaScript,366,229,62.57
tensorflow,tensorflow,191305,2015-11-07T01:19:20Z,2025-08-24T19:43:01Z,3578,0,36045,219,C++,40745,39845,97.79
computer-science,ossu,190924,2014-05-04T00:18:39Z,2025-08-24T21:07:18Z,4130,0,299,0,HTML,652,638,97.85
the-book-of-secret-knowledge,trimstray,183518,2018-06-23T10:43:14Z,2025-08-24T21:09:08Z,2619,0,122,0,Unknown,0,0,0
You-Dont-Know-JS,getify,183018,2013-11-16T02:37:24Z,2025-08-24T17:06:17Z,4299,0,368,0,Unknown,944,863,91.42
CS-Notes,CyC2018,181548,2018-02-13T14:56:24Z,2025-08-24T16:41:32Z,2749,0,374,0,Unknown,571,448,78.46
ohmyzsh,ohmyzsh,180908,2009-08-28T18:15:37Z,2025-08-24T19:27:24Z,5840,0,3377,0,Shell,4964,4824,97.18
AutoGPT,Significant-Gravitas,178053,2023-03-16T09:21:07Z,2025-08-24T21:02:18Z,892,0,3201,68,Python,3396,3232,95.17
vscode,microsoft,176043,2015-09-03T20:23:38Z,2025-08-24T21:16:19Z,3643,0,36293,177,TypeScript,205677,193506,94.08
bootstrap,twbs,172902,2011-07-29T21:19:00Z,2025-08-24T16:57:07Z,5139,0,8974,93,MDX,22751,22346,98.22
flutter,flutter,172078,2015-03-06T22:54:58Z,2025-08-24T20:07:42Z,3823,0,43864,7,Dart,108862,96954,89.06
Python-100-Days,jackfrued,171209,2018-03-01T16:05:52Z,2025-08-24T20:16:28Z,2733,0,13,0,Jupyter Notebook,691,118,17.08
gitignore,github,168863,2010-11-08T20:17:14Z,2025-08-24T21:08:12Z,5403,0,1716,0,Unknown,0,0,0
the-art-of-command-line,jlevy,157874,2015-05-20T15:11:03Z,2025-08-24T20:27:46Z,3749,0,317,0,Unknown,258,136,52.71
stable-diffusion-webui,AUTOMATIC1111,155895,2022-08-22T14:05:26Z,2025-08-24T21:02:23Z,1098,0,1874,27,Python,7831,5468,69.83
JavaGuide,Snailclimb,151395,2018-05-07T13:27:00Z,2025-08-24T14:39:47Z,2666,0,1180,0,Java,1104,1032,93.48
ollama,ollama,150837,2023-06-26T19:39:32Z,2025-08-24T20:19:41Z,790,0,2475,143,Go,8027,6243,77.78
awesome-go,avelino,150718,2014-07-06T13:42:15Z,2025-08-24T21:09:10Z,4067,0,3458,0,Go,688,682,99.13
transformers,huggingface,148753,2018-10-29T13:56:00Z,2025-08-24T20:25:10Z,2491,0,16681,224,Python,17826,16742,93.92
javascript,airbnb,147306,2012-11-01T23:13:50Z,2025-08-24T20:13:06Z,4678,0,810,0,JavaScript,1368,1269,92.76
Microsoft-Activation-Scripts,massgravel,145821,2020-01-12T23:03:34Z,2025-08-24T20:53:43Z,2050,0,6,24,Batchfile,724,723,99.86
youtube-dl,ytdl-org,136965,2010-10-31T14:35:07Z,2025-08-24T17:09:04Z,5411,0,1642,341,Python,26771,23125,86.38
next.js,vercel,133975,2016-10-05T23:32:51Z,2025-08-24T20:17:22Z,3244,0,23665,1000,JavaScript,23392,21072,90.08
awesome-chatgpt-prompts,f,133123,2022-12-05T13:54:13Z,2025-08-24T19:56:31Z,993,0,171,0,JavaScript,0,0,0
n8n,n8n-io,132319,2019-06-22T09:24:21Z,2025-08-24T21:17:26Z,2255,0,10641,382,TypeScript,5207,4577,87.9
go,golang,129563,2014-08-19T04:33:40Z,2025-08-24T20:34:59Z,4023,0,1,0,Go,67947,58771,86.5
tech-interview-handbook,yangshun,129145,2016-07-05T05:00:48Z,2025-08-24T20:39:12Z,3337,0,481,0,TypeScript,115,74,64.35
fucking-algorithm,labuladong,128976,2020-02-19T09:01:23Z,2025-08-24T15:04:53Z,2013,0,238,1,Markdown,920,916,99.57
scrcpy,Genymobile,127022,2017-11-21T18:00:27Z,2025-08-24T21:13:44Z,2833,0,113,47,C,5627,3176,56.44
HelloGitHub,521xueweihan,126159,2016-05-04T06:24:11Z,2025-08-24T20:21:35Z,3399,0,16,57,Python,2841,2651,93.31
30-seconds-of-code,Chalarangelo,125071,2017-11-29T17:35:03Z,2025-08-24T18:52:18Z,2825,0,827,12,JavaScript,300,300,100.0
yt-dlp,yt-dlp,123688,2020-10-26T04:22:55Z,2025-08-24T21:04:40Z,1763,0,2911,118,Python,9788,8188,83.65
react-native,facebook,123524,2015-01-09T18:10:16Z,2025-08-24T20:17:25Z,3880,0,930,410,C++,27204,26551,97.6
PowerToys,microsoft,122547,2019-05-01T17:44:02Z,2025-08-24T21:08:19Z,2307,0,5663,117,C#,34588,27579,79.74
electron,electron,118017,2013-04-12T01:47:36Z,2025-08-24T20:03:10Z,4517,0,23274,1000,C++,21050,20299,96.43
kubernetes,kubernetes,117048,2014-06-06T22:56:04Z,2025-08-24T20:45:50Z,4096,0,62232,755,Go,47705,45804,96.02
hello-algo,krahets,115721,2022-11-04T11:08:34Z,2025-08-24T21:15:54Z,1024,0,945,9,Java,270,258,95.56
free-programming-books-zh_CN,justjavac,115050,2013-11-04T01:59:19Z,2025-08-24T20:17:33Z,4311,0,282,3,Unknown,0,0,0
langchain,langchain-ai,114125,2022-10-17T02:58:36Z,2025-08-24T21:14:19Z,1042,0,14493,948,Jupyter Notebook,8645,8433,97.55
node,nodejs,112918,2014-11-26T19:57:11Z,2025-08-24T20:58:11Z,3924,0,10774,455,JavaScript,19465,17743,91.15
dify,langgenius,111900,2023-04-12T07:40:24Z,2025-08-24T21:00:08Z,865,0,7083,140,TypeScript,12632,11931,94.45
d3,d3,111345,2010-09-27T17:22:42Z,2025-08-24T20:24:57Z,5445,0,493,194,Shell,2229,2220,99.6
free-for-dev,ripienaar,110785,2015-03-18T21:06:26Z,2025-08-24T20:54:09Z,3812,0,2762,0,HTML,0,0,0
three.js,mrdoob,108254,2010-03-23T18:58:01Z,2025-08-24T19:58:01Z,5633,0,14410,171,JavaScript,13180,12731,96.59
open-webui,open-webui,107759,2023-10-06T22:08:27Z,2025-08-24T21:16:48Z,687,0,2517,122,JavaScript,6196,5984,96.58
axios,axios,107462,2014-08-18T22:30:27Z,2025-08-24T18:45:01Z,4023,0,1001,97,JavaScript,4844,4643,95.85
rust,rust-lang,106004,2010-06-16T20:39:03Z,2025-08-24T19:42:59Z,5548,0,65709,140,Rust,59261,48631,82.06
