file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,appendParentInfoToChildren/1[java.io.File],false,1363,2,4,1,3,10,11,32,1,10,1,11,2,1,4,3,0,0,4,0,11,0,3,0,0,1,45,4,0,true
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,implementation/1[java.lang.String],false,1134,2,3,1,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,"fillChildPoms/2[java.io.File,java.util.List<java.io.File>]",false,1409,1,3,2,1,4,4,10,0,2,2,4,1,0,1,1,0,0,1,0,2,0,3,0,0,0,10,4,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,addProfile/1[java.lang.String],false,1179,2,2,0,2,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,addCompilerArg/1[java.lang.String],false,1189,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,toXML/0,false,1193,5,11,2,9,9,14,36,1,2,0,14,1,0,5,0,0,0,32,0,2,2,2,0,0,0,48,1,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,appendParentInfoToChildren/0,false,1354,1,2,1,1,1,2,4,0,1,0,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,11,4,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,"addRepository/2[java.lang.String,boolean]",false,1116,2,1,0,1,1,1,5,1,1,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,"addDependency/3[java.lang.String,java.lang.String,java.lang.String]",false,1138,2,2,0,2,1,1,4,1,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\Codes\Lab-Experimentacao-Software\lab02\codigo\src\services\cloned_repos\1JPM\src\main\java\com\mycompany\myproject\JPM.java,com.mycompany.myproject.JPM$Project,addDependency/1[com.mycompany.myproject.JPM.Dependency],false,1143,1,3,3,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
