name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,38109,Java,2014-04-25T14:29:47Z,"11 anos, 4 meses",2025-06-05T07:06:39Z,"3 meses, 7 dias",21593,21.1 MB,MPAndroidChart
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,33897,Java,2017-11-10T06:27:29Z,"7 anos, 10 meses",2024-07-24T02:02:52Z,"1 anos, 1 meses",14194,13.9 MB,spring-boot-demo
chinabugotech/hutool,https://github.com/chinabugotech/hutool,30062,Java,2014-04-13T07:23:51Z,"11 anos, 5 meses",2025-09-10T12:03:13Z,0 dias,70410,68.8 MB,hutool
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,28750,Java,2017-12-01T20:49:15Z,"7 anos, 9 meses",2025-08-28T11:03:58Z,13 dias,55812,54.5 MB,spring-cloud-alibaba
Netflix/Hystrix,https://github.com/Netflix/Hystrix,24398,Java,2012-11-19T20:14:46Z,"12 anos, 9 meses",2023-10-17T13:04:47Z,"1 anos, 10 meses",9799,9.6 MB,Hystrix
alibaba/Sentinel,https://github.com/alibaba/Sentinel,22898,Java,2018-04-04T06:37:33Z,"7 anos, 5 meses",2025-08-26T18:22:29Z,15 dias,8393,8.2 MB,Sentinel
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,19856,Java,2018-09-12T14:51:46Z,"7 anos, 0 meses",2024-04-28T06:20:25Z,"1 anos, 4 meses",1813,1.8 MB,SpringBoot-Labs
shuzheng/zheng,https://github.com/shuzheng/zheng,16731,Java,2016-10-04T10:07:06Z,"8 anos, 11 meses",2022-12-16T09:53:00Z,"2 anos, 8 meses",41267,40.3 MB,zheng
prestodb/presto,https://github.com/prestodb/presto,16493,Java,2012-08-09T01:03:37Z,"13 anos, 1 meses",2025-09-10T23:15:00Z,0 dias,251437,245.5 MB,presto
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,15205,Java,2014-10-14T10:26:46Z,"10 anos, 11 meses",2025-08-13T00:05:36Z,28 dias,648651,633.4 MB,bytecode-viewer
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,14097,Java,2013-11-27T02:03:28Z,"11 anos, 9 meses",2025-08-29T12:58:32Z,12 dias,764664,746.7 MB,deeplearning4j
Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,13481,Java,2014-12-28T01:46:38Z,"10 anos, 8 meses",2022-12-30T03:36:03Z,"2 anos, 8 meses",6389,6.2 MB,Android-PickerView
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,12338,Java,2014-06-09T15:32:30Z,"11 anos, 3 meses",2025-06-19T23:54:53Z,"2 meses, 22 dias",5333,5.2 MB,Mybatis-PageHelper
trinodb/trino,https://github.com/trinodb/trino,11849,Java,2019-01-19T06:38:14Z,"6 anos, 7 meses",2025-09-10T16:07:02Z,0 dias,279123,272.6 MB,trino
grpc/grpc-java,https://github.com/grpc/grpc-java,11837,Java,2014-12-08T19:00:00Z,"10 anos, 9 meses",2025-09-10T12:09:33Z,0 dias,111047,108.4 MB,grpc-java
alibaba/vlayout,https://github.com/alibaba/vlayout,10775,Java,2017-02-27T08:11:47Z,"8 anos, 6 meses",2021-07-14T04:40:34Z,"4 anos, 1 meses",1726,1.7 MB,vlayout
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,10737,Java,2010-01-20T23:33:04Z,"15 anos, 7 meses",2025-04-22T14:50:33Z,"4 meses, 21 dias",4250,4.2 MB,Java-WebSocket
OpenFeign/feign,https://github.com/OpenFeign/feign,9734,Java,2013-06-26T23:28:16Z,"12 anos, 2 meses",2025-09-10T05:03:15Z,0 dias,10038,9.8 MB,feign
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9567,Java,2014-11-13T03:13:10Z,"10 anos, 10 meses",2023-05-28T15:12:24Z,"2 anos, 3 meses",3474,3.4 MB,android-Ultra-Pull-To-Refresh
json-path/JsonPath,https://github.com/json-path/JsonPath,9288,Java,2011-01-24T13:19:19Z,"14 anos, 7 meses",2024-07-30T13:29:30Z,"1 anos, 1 meses",2694,2.6 MB,JsonPath
karatelabs/karate,https://github.com/karatelabs/karate,8659,Java,2017-02-07T15:59:17Z,"8 anos, 7 meses",2025-08-29T02:42:11Z,12 dias,26565,25.9 MB,karate
roughike/BottomBar,https://github.com/roughike/BottomBar,8393,Java,2016-03-16T01:31:05Z,"9 anos, 6 meses",2021-09-16T11:19:06Z,"3 anos, 12 meses",40819,39.9 MB,BottomBar
bytedeco/javacv,https://github.com/bytedeco/javacv,8111,Java,2014-04-21T13:50:26Z,"11 anos, 4 meses",2025-08-27T06:55:02Z,14 dias,7815,7.6 MB,javacv
mapstruct/mapstruct,https://github.com/mapstruct/mapstruct,7496,Java,2012-05-28T12:42:42Z,"13 anos, 3 meses",2025-08-30T09:08:17Z,11 dias,11146,10.9 MB,mapstruct
square/dagger,https://github.com/square/dagger,7302,Java,2012-08-02T23:25:32Z,"13 anos, 1 meses",2021-08-26T11:07:52Z,"4 anos, 0 meses",6861,6.7 MB,dagger
