id,full_name,description,language,stargazers_count,forks_count,open_issues_count,pr_count
28457823,freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,428868,41748,283,134
21737465,sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,,402504,31695,66,118
13491895,EbookFoundation/free-programming-books,:books: Freely available programming books,Python,370401,64307,29,101
54346799,public-apis/public-apis,A collective list of free APIs,Python,366257,38486,599,148
85077558,kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,337445,42869,157,133
83222441,donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,321076,52442,519,106
21289110,vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,261357,26335,489,109
36633370,awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,,248767,11485,0,123
10270250,facebook/react,The library for web and native user interfaces.,JavaScript,239225,49407,1043,116
11730342,vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209480,33780,608,110
63476337,TheAlgorithms/Python,All Algorithms implemented in Python,Python,208979,48119,413,111
2325298,torvalds/linux,Linux kernel source tree,C,203297,57895,3,139
291137,ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up w...",Shell,181619,26228,507,135
614765452,Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,178667,45975,237,118
41881900,microsoft/vscode,Visual Studio Code,TypeScript,177005,35189,13714,102
2126244,twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",MDX,173463,79171,578,118
31792824,flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,173119,29254,12276,170
1062897,github/gitignore,A collection of useful .gitignore templates,,169599,83003,320,113
527591471,AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,Python,156856,29097,2425,131
