date,Players,Followers,Positive reviews,Negative reviews,Release,Sentiment,PositiveReviewCount,NegativeReviewCount
2024-12-13,,,,,1,,,
2024-12-14,,2316.0,,,0,,,
2024-12-15,,1138.0,,,0,,,
2024-12-16,,802.0,,,0,,,
2024-12-17,,813.0,,,0,,,
2024-12-18,,774.0,,,0,,,
2024-12-19,,623.0,,,0,,,
2024-12-20,,528.0,,,0,,,
2024-12-21,,378.0,,,0,,,
2024-12-22,,350.0,,,0,,,
2024-12-23,,293.0,,,0,,,
2024-12-24,,246.0,,,0,,,
2024-12-25,,210.0,,,0,,,
2024-12-26,,277.0,,,0,,,
2024-12-27,,236.0,,,0,,,
2024-12-28,,201.0,,,0,,,
2024-12-29,,208.0,,,0,,,
2024-12-30,,204.0,,,0,,,
2024-12-31,,163.0,,,0,,,
2025-01-01,,133.0,,,0,,,
2025-01-02,,206.0,,,0,,,
2025-01-03,,208.0,,,0,,,
2025-01-04,,212.0,,,0,,,
2025-01-05,,228.0,,,0,,,
2025-01-06,,233.0,,,0,,,
2025-01-07,,208.0,,,0,,,
2025-01-08,,224.0,,,0,,,
2025-01-09,,202.0,,,0,,,
2025-01-10,,1189.0,,,0,,,
2025-01-11,,1085.0,,,0,,,
2025-01-12,,696.0,,,0,,,
2025-01-13,,565.0,,,0,,,
2025-01-14,,460.0,,,0,,,
2025-01-15,,406.0,,,0,,,
2025-01-16,,311.0,,,0,,,
2025-01-17,,296.0,,,0,,,
2025-01-18,,374.0,,,0,,,
2025-01-19,,329.0,,,0,,,
2025-01-20,,290.0,,,0,,,
2025-01-21,,237.0,,,0,,,
2025-01-22,,217.0,,,0,,,
2025-01-23,,183.0,,,0,,,
2025-01-24,,217.0,,,0,,,
2025-01-25,,236.0,,,0,,,
2025-01-26,,252.0,,,0,,,
2025-01-27,,206.0,,,0,,,
2025-01-28,,205.0,,,0,,,
2025-01-29,,190.0,,,0,,,
2025-01-30,,242.0,,,0,,,
2025-01-31,,226.0,,,0,,,
2025-02-01,,209.0,,,0,,,
2025-02-02,,217.0,,,0,,,
2025-02-03,,190.0,,,0,,,
2025-02-04,,199.0,,,0,,,
2025-02-05,,183.0,,,0,,,
2025-02-06,,181.0,,,0,,,
2025-02-07,,-12026.5,,,0,,,
2025-02-08,,94.5,,,0,,,
2025-02-09,,98.5,,,0,,,
2025-02-10,,74.0,,,0,,,
2025-02-11,,79.0,,,0,,,
2025-02-12,,114.5,,,0,,,
2025-02-13,,217.0,,,0,,,
2025-02-14,,281.0,,,0,,,
2025-02-15,,375.5,,,0,,,
2025-02-16,,368.5,,,0,,,
2025-02-17,,345.0,,,0,,,
2025-02-18,,264.0,,,0,,,
2025-02-19,,235.0,,,0,,,
2025-02-20,,277.5,,,0,,,
2025-02-21,,250.5,,,0,,,
2025-02-22,,280.0,,,0,,,
2025-02-23,,241.5,,,0,,,
2025-02-24,,258.0,,,0,,,
2025-02-25,,235.5,,,0,,,
2025-02-26,,292.0,,,1,0.7299382352941177,30.0,3.0
2025-02-27,4517.0,1125.5,604.0,-8.0,0,0.6537859649122807,50.0,7.0
2025-02-28,3570.0,-4587.833333333334,50.0,-14.0,2,0.6829851851851851,23.0,4.0
2025-03-01,11593.0,1099.333333333334,-222.0,8.0,2,0.6462866666666667,38.0,6.0
2025-03-02,18872.0,1219.666666666666,428.0,-17.0,0,0.6426575757575758,55.0,11.0
2025-03-03,8443.0,1326.666666666666,17.0,-13.0,2,0.6427283582089552,57.0,9.0
2025-03-04,69571.0,1808.3333333333358,437.0,-676.0,2,0.33346760563380284,389.0,163.0
2025-03-05,-9972.5,2820.6666666666642,485.5,-876.5,3,0.2380793209876543,403.0,217.0
2025-03-06,3582.0,2413.3333333333358,-659.0,950.5,1,0.20427116279069768,129.0,81.0
2025-03-07,7127.5,1803.6666666666642,173.0,106.0,2,0.2561284974093264,123.0,66.0
2025-03-08,21657.5,1885.3333333333358,-174.0,22.5,0,0.19168810408921935,157.0,99.0
