date,Players,Followers,Positive reviews,Negative reviews,Release,Sentiment,PositiveReviewCount,NegativeReviewCount
2024-06-02,,,,,0,0.512,1,0
2024-06-03,-2384.0,47.33333333332848,-20.0,23.0,50,0.46521250000000003,6,2
2024-06-04,116.0,44.333333333343035,15.0,2.0,0,0.47662000000000004,7,3
2024-06-05,-73.0,47.33333333332848,-17.0,10.0,0,-0.4019,1,8
2024-06-06,21.0,46.33333333332848,11.0,-13.0,0,0.786575,4,0
2024-06-07,298.0,41.66666666667152,8.0,5.0,0,0.008190000000000008,5,5
2024-06-08,1442.0,45.33333333332848,-18.0,-7.0,0,0.3439692307692308,9,3
2024-06-09,828.0,62.333333333343035,7.0,2.0,0,0.1241,7,5
2024-06-10,-2146.0,54.33333333332848,9.0,-9.0,50,0.5113888888888889,7,1
2024-06-11,-119.0,70.33333333332848,-9.0,21.0,1,0.25348571428571426,4,2
2024-06-12,-115.0,68.0,1.0,-2.0,0,0.02489999999999999,4,7
2024-06-13,-175.0,67.0,4.0,-9.0,1,0.426675,3,1
2024-06-14,658.0,71.33333333334303,0.0,,0,0.6163,4,0
2024-06-15,1378.0,65.33333333332848,-16.0,,1,0.6040777777777778,7,1
2024-06-16,27.0,63.33333333332848,11.0,-4.0,0,0.37950000000000006,10,3
2024-06-17,-1634.0,62.333333333343035,24.0,-5.0,0,0.14952857142857143,4,3
2024-06-18,-225.0,0.0,-30.0,13.0,50,0.47911111111111115,7,2
2024-06-19,-267.0,0.0,4.0,-3.0,0,0.35898125000000003,11,5
2024-06-20,-50.0,193.66666666665697,-4.0,-32.0,51,0.12192499999999999,6,5
2024-06-21,360.0,28.333333333343035,0.0,2.0,0,-0.564825,1,3
2024-06-22,1365.0,57.666666666656965,12.0,22.0,0,0.06954285714285714,3,3
2024-06-23,256.0,74.0,-6.0,-1.0,1,0.3480833333333333,4,2
2024-06-24,1055.0,74.33333333334303,12.0,-12.0,50,0.2668696969696969,21,9
2024-06-25,295.0,65.33333333332848,12.0,-26.0,0,0.426792,19,6
2024-06-26,-292.0,51.66666666667152,11.0,16.0,0,0.26724230769230767,17,8
2024-06-27,-96.0,49.33333333332848,-13.0,4.0,2,0.25614375,11,4
2024-06-28,553.0,69.66666666667152,-16.0,9.0,51,0.07767333333333332,10,5
2024-06-29,1673.0,60.33333333332848,-2.0,8.0,0,0.18013478260869564,14,9
2024-06-30,1027.0,77.0,13.0,-25.0,1,0.2832047619047619,14,6
2024-07-01,-2787.0,63.66666666667152,-3.0,17.0,0,0.32737499999999997,11,5
2024-07-02,-308.0,54.33333333332848,6.0,11.0,0,0.3304181818181818,7,4
2024-07-03,1710.0,58.0,76.0,-4.0,50,0.4192560975609756,30,10
2024-07-04,1606.0,85.0,-6.0,,50,0.5905586206896551,25,4
2024-07-05,408.0,60.0,-19.0,,0,0.5036458333333333,19,5
2024-07-06,1822.0,72.33333333332848,-10.0,,0,0.4421576923076923,19,7
2024-07-07,677.0,68.33333333334303,12.0,4.0,0,0.40292222222222224,21,6
2024-07-08,-3907.0,60.666666666656965,-32.0,-19.0,50,0.651091304347826,21,2
2024-07-09,-611.0,63.333333333343035,-2.0,18.0,0,0.3002894736842105,13,6
2024-07-10,-363.0,41.33333333332848,9.0,-14.0,0,0.6033166666666667,15,2
2024-07-11,-129.0,48.33333333332848,-23.0,1.0,0,0.2801222222222222,12,5
2024-07-12,1325.0,49.0,-11.0,12.0,0,0.3162833333333333,8,4
2024-07-13,2310.0,75.33333333334303,12.0,-5.0,0,0.182335,13,7
2024-07-14,504.0,57.666666666656965,-6.0,-13.0,0,0.16611,11,9
2024-07-15,-3586.0,46.333333333343035,4.0,-5.0,0,0.5748,8,2
2024-07-16,-298.0,36.666666666656965,-5.0,12.0,0,0.3380571428571429,10,2
2024-07-17,-273.0,42.0,3.0,8.0,0,0.48055,11,3
2024-07-18,-640.0,43.66666666667152,-5.0,-1.0,0,0.5209,7,2
2024-07-19,491.0,34.66666666667152,-3.0,-6.0,0,0.5005055555555555,13,2
2024-07-20,1622.0,41.0,7.0,2.0,0,0.6612363636363636,10,1
2024-07-21,828.0,60.666666666656965,-4.0,5.0,0,0.39429285714285717,11,3
2024-07-22,-2631.0,48.66666666667152,-7.0,-12.0,0,0.23489,6,3
2024-07-23,-126.0,52.33333333332848,-2.0,8.0,0,0.011980000000000013,5,5
2024-07-24,141.0,55.66666666667152,11.0,-3.0,0,0.14018124999999998,8,7
2024-07-25,-428.0,43.66666666667152,,,0,0.3382,8,4
2024-07-26,640.0,44.0,,,0,0.7200222222222222,9,0
2024-07-27,1398.0,44.666666666656965,-47.0,18.0,0,0.163425,5,2
2024-07-28,618.0,49.0,-4.0,4.0,0,0.13143333333333335,5,4
2024-07-29,-2793.0,39.66666666667152,4.0,-2.0,0,0.6339636363636364,10,1
2024-07-30,-263.0,36.66666666667152,11.0,,0,-0.042300000000000004,4,7
2024-07-31,-238.0,42.33333333332848,-13.0,,0,0.34225714285714287,4,3
2024-08-01,54.0,36.0,-8.0,-7.0,0,0.26777,8,2
2024-08-02,610.0,40.0,22.0,3.0,0,0.47659285714285715,11,2
2024-08-03,1474.0,48.66666666667152,-7.0,7.0,0,0.2514266666666667,9,5
2024-08-04,1074.0,54.0,-7.0,-13.0,0,0.4489222222222222,7,2
2024-08-05,-2714.0,50.0,4.0,8.0,0,0.13505000000000003,6,3
2024-08-06,-532.0,38.0,2.0,-8.0,0,0.18538571428571426,4,3
2024-08-07,-81.0,40.666666666656965,-10.0,13.0,0,0.6333333333333334,6,0
2024-08-08,-7.0,34.66666666667152,-6.0,-6.0,0,-0.29681428571428575,1,5
2024-08-09,1709.0,40.66666666667152,17.0,2.0,0,0.4990555555555556,15,3
2024-08-10,1060.0,55.33333333332848,-6.0,-6.0,0,0.42744615384615386,10,3
2024-08-11,596.0,55.66666666667152,-5.0,0.0,0,0.16152857142857144,13,8
2024-08-12,-2385.0,47.0,15.0,-2.0,0,0.019010000000000006,4,5
2024-08-13,-352.0,42.33333333332848,-6.0,1.0,0,0.5560636363636363,9,2
2024-08-14,10.0,40.0,-11.0,3.0,0,0.46918333333333334,4,2
2024-08-15,95.0,32.0,-4.0,11.0,0,0.42605000000000004,7,3
