date,Players,Followers,Positive reviews,Negative reviews,Release,Sentiment,PositiveReviewCount,NegativeReviewCount
2024-06-02,,,,,0,,,
2024-06-03,-635.0,14.0,-7.0,,0,0.48641666666666666,5.0,1.0
2024-06-04,-94.0,19.0,-1.0,,0,0.5768625000000001,6.0,1.0
2024-06-05,-50.0,11.0,11.0,,0,0.5047666666666667,2.0,1.0
2024-06-06,-115.0,8.0,-5.0,,0,0.6964857142857143,7.0,0.0
2024-06-07,222.0,5.0,0.0,,0,0.86086,5.0,0.0
2024-06-08,515.0,16.0,-2.0,,0,0.666025,4.0,0.0
2024-06-09,238.0,33.0,7.0,,0,0.65767,10.0,0.0
2024-06-10,-541.0,6.0,-7.0,,0,0.47421428571428575,5.0,0.0
2024-06-11,-15.0,20.0,0.0,,0,0.24182222222222224,5.0,3.0
2024-06-12,-12.0,15.0,12.0,,0,0.6452857142857144,6.0,1.0
2024-06-13,-58.0,17.0,-17.0,,0,0.25953333333333334,4.0,2.0
2024-06-14,191.0,17.0,5.0,,50,0.5934333333333334,5.0,0.0
2024-06-15,602.0,13.0,10.0,,0,0.5698666666666666,5.0,0.0
2024-06-16,313.0,26.0,-4.0,,0,0.7347333333333333,6.0,0.0
2024-06-17,-690.0,3.0,-5.0,,0,0.7189222222222222,8.0,0.0
2024-06-18,-81.0,0.0,3.0,,0,0.53075,7.0,0.0
2024-06-19,-104.0,0.0,1.0,,0,0.6182,11.0,2.0
2024-06-20,-258.0,30.0,1.0,,0,0.3898333333333333,5.0,1.0
2024-06-21,196.0,10.0,0.0,1.0,0,0.45365,6.0,1.0
2024-06-22,526.0,20.0,-6.0,,0,0.7201142857142857,7.0,0.0
2024-06-23,192.0,17.0,6.0,,0,0.7297916666666667,12.0,0.0
2024-06-24,-700.0,12.0,0.0,0.0,0,0.6017333333333333,2.0,0.0
2024-06-25,601.0,19.0,-8.0,-1.0,50,0.7851,14.0,0.0
2024-06-26,325.0,29.0,27.0,,100,0.70235625,15.0,1.0
2024-06-27,44.0,19.0,-6.0,,50,0.5625125,6.0,1.0
2024-06-28,416.0,3.0,-20.0,0.0,50,0.8645799999999999,10.0,0.0
2024-06-29,634.0,9.0,9.0,,0,0.5460875000000001,7.0,1.0
2024-06-30,504.0,14.0,3.0,,0,0.6302083333333334,10.0,1.0
2024-07-01,-679.0,30.0,6.0,,0,0.46731818181818185,8.0,1.0
2024-07-02,-263.0,23.0,-13.0,,0,0.4681666666666666,7.0,1.0
2024-07-03,109.0,9.0,9.0,0.0,50,0.50885,12.0,1.0
2024-07-04,436.0,8.0,4.0,,50,0.6896384615384614,12.0,0.0
2024-07-05,6.0,4.0,-7.0,,50,0.6039789473684211,16.0,2.0
2024-07-06,853.0,14.0,11.0,,0,0.193975,10.0,5.0
2024-07-07,588.0,23.0,-1.0,,0,0.67245,10.0,1.0
2024-07-08,-1188.0,43.0,0.0,,0,0.4974470588235294,13.0,2.0
2024-07-09,-239.0,28.0,-4.0,,0,0.672925,15.0,1.0
2024-07-10,-242.0,10.0,4.0,,0,0.55124,12.0,1.0
2024-07-11,-44.0,15.0,9.0,,50,0.3276631578947368,14.0,5.0
2024-07-12,459.0,38.0,-18.0,-1.0,0,0.38075454545454546,8.0,3.0
2024-07-13,598.0,25.0,3.0,1.0,0,0.4480636363636364,8.0,3.0
2024-07-14,258.0,16.0,-17.0,,0,0.8256749999999999,8.0,0.0
2024-07-15,-1141.0,16.0,20.0,,50,0.6170714285714285,11.0,1.0
2024-07-16,-293.0,21.0,-7.0,,0,0.8050599999999999,5.0,0.0
2024-07-17,-197.0,24.0,-1.0,,0,0.66169,9.0,0.0
2024-07-18,-143.0,15.0,11.0,,50,0.7431235294117647,17.0,0.0
2024-07-19,317.0,60.0,-7.0,,0,0.6670083333333333,10.0,0.0
2024-07-20,934.0,62.0,-4.0,,0,0.4021071428571429,11.0,3.0
2024-07-21,732.0,53.0,4.0,,0,0.5795,8.0,0.0
2024-07-22,-1162.0,59.0,3.0,,0,0.671407142857143,13.0,1.0
2024-07-23,-22.0,34.0,7.0,,50,0.6461125,7.0,0.0
2024-07-24,-202.0,27.0,-7.0,,0,0.349775,5.0,1.0
2024-07-25,-186.0,28.0,0.0,,0,0.4992545454545454,9.0,1.0
2024-07-26,240.0,14.0,-6.0,,0,0.5701333333333333,6.0,0.0
2024-07-27,802.0,34.0,-7.0,,0,0.6483636363636364,10.0,1.0
2024-07-28,472.0,49.0,10.0,,0,0.53874,13.0,1.0
2024-07-29,-1059.0,29.0,17.0,,0,0.7476,7.0,0.0
2024-07-30,-378.0,25.0,-22.0,,0,0.5218888888888888,7.0,2.0
2024-07-31,-145.0,14.0,1.0,,50,0.364675,8.0,3.0
2024-08-01,-54.0,15.0,10.0,,0,0.5583374999999999,7.0,0.0
2024-08-02,218.0,20.0,-12.0,,0,0.6755375,8.0,0.0
2024-08-03,684.0,15.0,4.0,,0,0.5148363636363636,10.0,1.0
2024-08-04,521.0,28.0,1.0,,0,0.6140249999999999,12.0,0.0
2024-08-05,-1103.0,31.0,6.0,,0,0.7226272727272728,10.0,0.0
2024-08-06,-419.0,18.0,-7.0,,0,0.7536153846153847,13.0,0.0
2024-08-07,-80.0,19.0,1.0,1.0,0,0.5807375,7.0,0.0
2024-08-08,170.0,12.0,-6.0,,0,0.8620666666666666,3.0,0.0
2024-08-09,187.0,9.0,6.0,,0,0.41673846153846156,8.0,1.0
2024-08-10,353.0,21.0,1.0,-1.0,0,0.5989727272727273,10.0,1.0
2024-08-11,475.0,26.0,-12.0,,0,0.5336166666666667,5.0,1.0
2024-08-12,-989.0,19.0,5.0,,0,0.8578,4.0,0.0
2024-08-13,-278.0,16.0,0.0,0.0,0,0.8503833333333333,12.0,0.0
2024-08-14,-116.0,18.0,4.0,,0,0.6873625,7.0,0.0
2024-08-15,-268.0,13.0,-7.0,,0,0.3818,1.0,0.0
2024-08-16,344.0,18.0,2.0,,0,0.5985454545454545,10.0,1.0
2024-08-17,538.0,7.0,2.0,,0,0.44093333333333334,4.0,1.0
2024-08-18,493.0,20.0,1.0,,0,0.648290909090909,10.0,1.0
2024-08-19,-976.0,18.0,-5.0,,0,0.6951333333333333,5.0,1.0
2024-08-20,-332.0,19.0,-1.0,0.0,0,0.5609142857142857,6.0,1.0
2024-08-21,-167.0,18.0,7.0,,0,0.4822,6.0,0.0
2024-08-22,-71.0,18.0,-4.0,,0,0.7516857142857143,6.0,0.0
2024-08-23,-130.0,8.0,1.0,,0,0.8038166666666666,6.0,0.0
2024-08-24,936.0,14.0,-4.0,,0,0.602175,4.0,0.0
2024-08-25,511.0,21.0,5.0,,0,0.4574,9.0,1.0
2024-08-26,-786.0,20.0,5.0,0.0,0,0.4025333333333333,7.0,2.0
2024-08-27,-345.0,16.0,-11.0,0.0,0,0.53222,4.0,0.0
2024-08-28,-197.0,18.0,2.0,,0,0.4027,2.0,1.0
2024-08-29,-77.0,25.0,-9.0,,0,0.7342,9.0,0.0
2024-08-30,398.0,13.0,15.0,0.0,0,0.47761000000000003,8.0,1.0
2024-08-31,558.0,30.0,1.0,,0,0.6104666666666666,5.0,0.0
2024-09-01,276.0,23.0,6.0,,0,0.5135,5.0,1.0
2024-09-02,-101.0,15.0,-5.0,,0,0.4799333333333333,6.0,0.0
2024-09-03,-791.0,30.0,-7.0,,0,0.36998000000000003,3.0,1.0
2024-09-04,-63.0,33.0,-2.0,,0,0.04492499999999999,5.0,3.0
2024-09-05,-63.0,17.0,7.0,,100,0.628275,11.0,0.0
2024-09-06,166.0,7.0,,,0,0.6655625000000001,7.0,0.0
2024-09-07,831.0,26.0,,,0,0.5576375,6.0,1.0
2024-09-08,668.0,28.0,-13.0,,0,0.55425,8.0,1.0
2024-09-09,-1103.0,25.0,0.0,,0,0.6586000000000001,9.0,0.0
2024-09-10,-568.0,13.0,-3.0,,0,0.5694,6.0,1.0
2024-09-11,-126.0,11.0,5.0,,0,0.50144,4.0,1.0
2024-09-12,-133.0,9.0,-6.0,,100,0.5454,3.0,0.0
2024-09-13,148.0,22.0,3.0,,0,0.3261625,6.0,2.0
2024-09-14,464.0,2.0,-10.0,,0,0.09045,2.0,1.0
2024-09-15,392.0,28.0,-3.0,,0,0.7348833333333333,6.0,0.0
2024-09-16,-1045.0,9.0,6.0,,0,0.5028333333333334,2.0,0.0
2024-09-17,-337.0,8.0,-4.0,,0,0.9866,1.0,0.0
2024-09-18,-76.0,14.0,0.0,,50,0.6515375,7.0,1.0
2024-09-19,-44.0,15.0,4.0,,0,0.52295,2.0,0.0
2024-09-20,288.0,12.0,1.0,,0,0.6973727272727273,10.0,0.0
2024-09-21,574.0,19.0,3.0,,0,0.5848,4.0,0.0
2024-09-22,350.0,14.0,-3.0,,0,0.7444000000000001,3.0,0.0
2024-09-23,-952.0,5.0,3.0,,0,0.58755,5.0,0.0
2024-09-24,-119.0,13.0,-8.0,,0,0.8472500000000001,4.0,0.0
2024-09-25,-90.0,10.0,-4.0,,50,0.8031,4.0,0.0
2024-09-26,30.0,-3.0,10.0,,0,0.42956666666666665,4.0,2.0
2024-09-27,205.0,16.0,-4.0,,0,0.4404,1.0,0.0
2024-09-28,485.0,10.0,1.0,,0,0.845675,8.0,0.0
2024-09-29,243.0,17.0,2.0,,0,0.7739125,8.0,0.0
2024-09-30,-901.0,6.0,-7.0,,0,0.6668,3.0,0.0
2024-10-01,-187.0,10.0,-1.0,,50,0.60872,5.0,0.0
2024-10-02,-82.0,17.0,5.0,,0,0.46230000000000004,6.0,1.0
2024-10-03,43.0,13.0,5.0,,50,0.469175,6.0,1.0
