DateTime,Players,Average Players,Followers,Positive reviews,Negative reviews
2025-05-02,72787.41666666667,76495.375,181951.0,1443.0,-39.0
2025-05-03,83903.375,86297.70833333333,183354.0,1691.0,-29.0
2025-05-04,90347.875,82857.58333333333,184748.0,2927.0,-61.0
2025-05-05,67659.91666666667,66067.25,186088.0,1141.0,-23.0
2025-05-06,59253.041666666664,58244.333333333336,187300.0,995.0,-19.0
2025-05-07,55293.0,55302.666666666664,188373.0,1472.0,-30.0
2025-05-08,55573.541666666664,55456.958333333336,189483.0,909.0,-8.0
2025-05-09,55624.458333333336,58019.125,190415.0,1786.0,-36.0
2025-05-10,64120.416666666664,63312.208333333336,191297.0,1391.0,-29.0
2025-05-11,65050.583333333336,61112.416666666664,192316.0,733.0,-17.0
2025-05-12,49838.75,51812.291666666664,193205.0,1336.0,-28.0
2025-05-13,45975.583333333336,45848.958333333336,194020.0,711.0,-23.0
2025-05-14,42938.416666666664,42991.041666666664,194762.0,1077.0,-17.0
2025-05-15,40663.625,40746.541666666664,195546.0,654.0,-18.0
2025-05-16,39971.166666666664,41148.75,196220.0,559.0,-8.0
2025-05-17,46602.0,45402.208333333336,196959.0,720.0,-21.0
2025-05-18,50067.458333333336,47209.375,197689.0,850.0,-22.0
2025-05-19,37886.083333333336,41354.708333333336,198398.0,772.0,-21.0
2025-05-20,33827.833333333336,34661.708333333336,198972.0,564.0,-9.0
2025-05-21,31718.875,32038.041666666668,199474.0,570.0,-10.0
2025-05-22,30345.916666666668,30752.541666666668,199982.0,614.0,-16.0
2025-05-23,31028.166666666668,31011.666666666668,200546.0,524.0,-11.0
2025-05-24,39142.4358974359,33951.5,201054.0,661.0,-5.0
2025-05-25,37150.930555555555,36973.625,201657.0,774.0,-18.0
2025-05-26,33903.65972222222,36186.875,202190.0,726.0,-17.0
2025-05-27,28023.243055555555,32210.541666666668,202755.0,826.0,-26.0
2025-05-28,26623.36111111111,27884.458333333332,203198.0,436.0,-12.0
2025-05-29,26668.694444444445,27499.5,203689.0,573.0,-10.0
2025-05-30,24677.097222222223,26364.916666666668,204153.0,553.0,-14.0
2025-05-31,26127.7578125,26266.869565217392,204588.0,500.0,-7.0
