DateTime,Players,Average Players,Followers,Positive reviews,Negative reviews
2024-06-01,11455.0,9689.0,45363.0,95.0,-2.0
2024-06-02,12312.0,9941.0,45417.0,96.0,-4.0
2024-06-03,11497.0,8988.0,45466.0,107.0,-2.0
2024-06-04,10857.0,8800.0,45508.0,87.0,-5.0
2024-06-05,10830.0,8615.0,45560.0,106.0,-7.0
2024-06-06,10508.0,8521.0,45629.0,146.0,-5.0
2024-06-07,10964.0,8711.0,45695.0,108.0,-2.0
2024-06-08,10999.0,9204.0,45787.0,104.0,-1.0
2024-06-09,12032.0,9613.0,45886.0,126.0,-2.0
2024-06-10,11012.0,8797.0,45970.0,113.0,-2.0
2024-06-11,10576.0,8421.0,46050.0,91.0,
2024-06-12,10298.0,8321.0,46126.0,121.0,
2024-06-13,10032.0,8117.0,46208.0,89.0,-3.0
2024-06-14,10026.0,8201.0,46294.0,54.0,
2024-06-15,10094.0,8576.0,46363.0,85.0,-3.0
2024-06-16,10661.0,8750.0,46425.0,91.0,-5.0
2024-06-17,10223.0,7971.0,46478.0,87.0,-1.0
2024-06-18,9704.0,7748.0,46478.0,85.0,
2024-06-19,9729.0,7705.0,46478.0,83.0,-5.0
2024-06-20,9263.0,7425.0,46666.0,115.0,-2.0
2024-06-21,8740.0,7256.0,46696.0,46.0,
2024-06-22,8936.0,7556.0,46757.0,87.0,
2024-06-23,9665.0,7800.0,46831.0,54.0,
2024-06-24,8988.0,7171.0,46882.0,72.0,-5.0
2024-06-25,8648.0,6880.0,46930.0,72.0,-1.0
2024-06-26,8587.0,6834.0,46975.0,66.0,-3.0
2024-06-27,8735.0,6851.0,47023.0,117.0,-4.0
2024-06-28,9605.0,7831.0,47253.0,86.0,-3.0
2024-06-29,10693.0,8948.0,47613.0,85.0,
2024-06-30,11670.0,9657.0,47922.0,155.0,-3.0
2024-07-01,10926.0,8898.0,48162.0,163.0,-7.0
2024-07-02,11188.0,8958.0,48360.0,156.0,-5.0
2024-07-03,11290.0,9102.0,48508.0,166.0,-6.0
2024-07-04,11358.0,9106.0,48644.0,106.0,-5.0
