DateTime,Players,Average Players,Followers,Positive reviews,Negative reviews
2025-05-02,,0.0,1901.0,,
2025-05-03,,0.0,1911.0,,
2025-05-04,,0.0,1919.0,,
2025-05-05,,0.0,1926.0,,
2025-05-06,,0.0,1937.0,,
2025-05-07,,42.958333333333336,1959.0,,
2025-05-08,491.25,299.5,2018.0,8.0,-3.0
2025-05-09,401.4166666666667,389.0416666666667,2369.0,14.0,-3.0
2025-05-10,383.4583333333333,382.4583333333333,2608.0,10.0,-3.0
2025-05-11,368.25,351.3333333333333,2783.0,7.0,-1.0
2025-05-12,296.1666666666667,298.875,2917.0,9.0,
2025-05-13,259.8333333333333,259.0416666666667,3034.0,2.0,-1.0
2025-05-14,234.29166666666666,233.58333333333334,3128.0,5.0,-1.0
2025-05-15,209.04166666666666,212.41666666666666,3199.0,1.0,-1.0
2025-05-16,199.5,202.79166666666666,3257.0,5.0,
2025-05-17,206.41666666666666,205.375,3324.0,,-1.0
2025-05-18,204.08333333333334,201.33333333333334,3390.0,1.0,
2025-05-19,181.66666666666666,183.25,3456.0,,
2025-05-20,158.70833333333334,163.66666666666666,3502.0,1.0,
2025-05-21,148.25,149.125,3548.0,3.0,-1.0
2025-05-22,132.375,138.125,3591.0,2.0,
2025-05-23,138.95833333333334,137.25,3630.0,1.0,
2025-05-24,143.1315789473684,145.5,3689.0,1.0,
2025-05-25,132.75694444444446,139.41666666666666,3742.0,2.0,
2025-05-26,121.94444444444444,132.04166666666666,3781.0,3.0,-2.0
2025-05-27,117.71527777777777,126.625,3816.0,1.0,
2025-05-28,111.57638888888889,121.41666666666667,3835.0,,
2025-05-29,121.19444444444444,122.79166666666667,3856.0,,
2025-05-30,104.0625,117.83333333333333,3881.0,,
2025-05-31,105.8046875,110.91304347826087,3909.0,1.0,
