DateTime,Players,Average Players,Followers,Positive reviews,Negative reviews
2025-05-02,1218.0,1268.0833333333333,81117.0,14.0,-1.0
2025-05-03,1385.0833333333333,1458.5833333333333,81149.0,2.0,-1.0
2025-05-04,1601.4166666666667,1595.4583333333333,81177.0,12.0,-2.0
2025-05-05,1589.9166666666667,1633.0416666666667,81227.0,7.0,
2025-05-06,1712.0416666666667,1706.3333333333333,81286.0,14.0,
2025-05-07,1727.8333333333333,1769.0833333333333,81334.0,10.0,
2025-05-08,1927.5,2106.7916666666665,81368.0,15.0,-1.0
2025-05-09,2649.5833333333335,2868.5833333333335,81595.0,20.0,-2.0
2025-05-10,3697.8333333333335,3789.3333333333335,81888.0,13.0,-3.0
2025-05-11,4476.5,4140.833333333333,82146.0,40.0,-3.0
2025-05-12,3666.2083333333335,3742.3333333333335,82374.0,39.0,-1.0
2025-05-13,3326.7916666666665,3340.375,82462.0,29.0,-3.0
2025-05-14,3087.0,3091.8333333333335,82503.0,44.0,-3.0
2025-05-15,2913.0833333333335,2931.375,82554.0,40.0,
2025-05-16,2882.625,3000.25,82604.0,16.0,-1.0
2025-05-17,3419.2083333333335,3350.1666666666665,82666.0,28.0,-3.0
2025-05-18,3710.8333333333335,3445.4583333333335,82732.0,43.0,-3.0
2025-05-19,2620.0416666666665,2899.5,82776.0,20.0,-3.0
2025-05-20,2264.2083333333335,2345.125,82810.0,18.0,
2025-05-21,2085.75,2127.0833333333335,82844.0,33.0,-2.0
2025-05-22,1992.2083333333333,2025.0416666666667,82863.0,9.0,
2025-05-23,1958.0833333333333,1989.7083333333333,82890.0,20.0,-1.0
2025-05-24,2290.7368421052633,2158.25,82926.0,12.0,
2025-05-25,2319.3680555555557,2302.6666666666665,82958.0,28.0,
2025-05-26,1866.9583333333333,2100.5,82992.0,22.0,-2.0
2025-05-27,1630.9652777777778,1800.0,83017.0,16.0,
2025-05-28,1568.1527777777778,1643.2083333333333,83042.0,18.0,
2025-05-29,1626.1319444444443,1654.4166666666667,83069.0,14.0,-1.0
2025-05-30,1548.0208333333333,1637.2916666666667,83092.0,17.0,
2025-05-31,1743.515625,1694.304347826087,83118.0,10.0,
