DateTime,Players,Average Players,Followers,Positive reviews,Negative reviews
2025-05-02,16221.083333333334,17207.375,410530.0,143.0,-3.0
2025-05-03,18766.375,18860.166666666668,410654.0,146.0,-6.0
2025-05-04,18939.458333333332,17432.5,410794.0,181.0,-12.0
2025-05-05,14847.5,14809.75,410964.0,128.0,-4.0
2025-05-06,14175.75,14217.583333333334,411066.0,113.0,-3.0
2025-05-07,14370.375,14525.041666666666,411173.0,135.0,-1.0
2025-05-08,14827.583333333334,15007.75,411303.0,122.0,-6.0
2025-05-09,15875.416666666666,16785.166666666668,411422.0,99.0,-2.0
2025-05-10,19117.708333333332,18716.541666666668,411551.0,172.0,-10.0
2025-05-11,18896.875,17676.458333333332,411698.0,159.0,-2.0
2025-05-12,14399.333333333334,15172.0,411836.0,117.0,-6.0
2025-05-13,14355.0,14386.541666666666,411950.0,93.0,-1.0
2025-05-14,14522.291666666666,14474.958333333334,412045.0,84.0,-1.0
2025-05-15,14574.958333333334,14691.166666666666,412159.0,106.0,
2025-05-16,15752.708333333334,16144.458333333334,412260.0,104.0,-3.0
2025-05-17,19075.208333333332,18302.666666666668,412406.0,149.0,-8.0
2025-05-18,18903.0,18251.25,412568.0,166.0,-8.0
2025-05-19,14809.583333333334,15953.791666666666,412707.0,114.0,-7.0
2025-05-20,14506.083333333334,14612.333333333334,412817.0,119.0,-5.0
2025-05-21,14814.291666666666,14750.833333333334,412914.0,104.0,
2025-05-22,15316.875,15236.166666666666,413033.0,120.0,-6.0
2025-05-23,16639.041666666668,16388.666666666668,413156.0,114.0,-3.0
2025-05-24,19039.263157894737,18351.333333333332,413297.0,189.0,-8.0
2025-05-25,18619.868055555555,19091.833333333332,413457.0,152.0,-7.0
2025-05-26,16560.097222222223,17722.666666666668,413601.0,142.0,-8.0
2025-05-27,15273.770833333334,16502.0,413714.0,138.0,-4.0
2025-05-28,15594.194444444445,15887.5,413842.0,111.0,-2.0
2025-05-29,16006.381944444445,16407.75,413977.0,152.0,-10.0
2025-05-30,16261.055555555555,16602.625,414112.0,152.0,-5.0
2025-05-31,17888.15625,17675.217391304348,414265.0,149.0,-1.0
