DateTime,Players,Average Players,Followers,Positive reviews,Negative reviews
2025-05-02,,0.0,3848.0,,
2025-05-03,,0.0,3856.0,,
2025-05-04,,0.0,3866.0,,
2025-05-05,,0.0,3887.0,,
2025-05-06,,0.0,3908.0,,
2025-05-07,,12.583333333333334,3949.0,,
2025-05-08,246.7,191.41666666666666,4155.0,18.0,-1.0
2025-05-09,417.1666666666667,491.5,5287.0,34.0,-4.0
2025-05-10,757.7916666666666,763.375,6801.0,20.0,-5.0
2025-05-11,892.6666666666666,805.8333333333334,7918.0,31.0,-6.0
2025-05-12,644.0416666666666,667.0416666666666,8787.0,20.0,-7.0
2025-05-13,556.375,553.6666666666666,9408.0,18.0,-3.0
2025-05-14,487.875,486.25,9851.0,19.0,-4.0
2025-05-15,419.5416666666667,432.625,10208.0,4.0,-4.0
2025-05-16,416.6666666666667,432.875,10534.0,11.0,
2025-05-17,492.375,478.1666666666667,10773.0,6.0,-8.0
2025-05-18,496.5416666666667,461.9166666666667,11018.0,16.0,-3.0
2025-05-19,310.2916666666667,355.2916666666667,11182.0,12.0,-5.0
2025-05-20,263.0833333333333,273.1666666666667,11307.0,9.0,-1.0
2025-05-21,251.41666666666666,250.04166666666666,11439.0,5.0,-2.0
2025-05-22,227.25,233.0,11544.0,8.0,
2025-05-23,217.75,225.875,11635.0,5.0,
2025-05-24,256.5,251.33333333333334,11694.0,2.0,-1.0
2025-05-25,246.89583333333334,256.0,11781.0,2.0,-3.0
2025-05-26,173.77777777777777,205.54166666666666,11838.0,6.0,-2.0
2025-05-27,150.50694444444446,169.95833333333334,11932.0,4.0,-1.0
2025-05-28,135.8125,145.45833333333334,11985.0,2.0,
2025-05-29,143.13194444444446,146.5,12031.0,2.0,-1.0
2025-05-30,135.49305555555554,144.75,12088.0,6.0,-1.0
2025-05-31,149.828125,149.52173913043478,12133.0,1.0,-3.0
